main_category_id,main_category,subcategory,service,serviceLink
1,Education & Training,Education Publications,Sales Outlets of Books,https://gic.gov.lk/gic/index.php/en/component/info/?id=665&catid=87&task=info
1,Education & Training,Education Publications,Museum Publications,https://gic.gov.lk/gic/index.php/en/component/info/?id=1481&catid=87&task=info
1,Education & Training,Education Publications,Services of Establishment Unit of Educational Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=662&catid=87&task=info
1,Education & Training,Education Publications,Services of Information Technology Unit of Educational Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=659&catid=87&task=info
1,Education & Training,Education Publications,Warehouses of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=664&catid=87&task=info
1,Education & Training,Education Publications,Services of Publishing Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=657&catid=87&task=info
1,Education & Training,Education Publications,Services of Investigation Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=660&catid=87&task=info
1,Education & Training,Education Publications,Services of Research Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=661&catid=87&task=info
1,Education & Training,Education Publications,Provision of Books for Libraries,https://gic.gov.lk/gic/index.php/en/component/info/?id=951&catid=87&task=info
1,Education & Training,Education Publications,Services of Planning Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=658&catid=87&task=info
1,Education & Training,Education Publications,Services of Production Unit of Educational Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=656&catid=87&task=info
1,Education & Training,Education Publications,Request for Holding a Mobile Archaeological Book Stall,https://gic.gov.lk/gic/index.php/en/component/info/?id=1085&catid=87&task=info
1,Education & Training,Education Publications,Services of Financial Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=663&catid=87&task=info
1,Education & Training,School Education,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=14&task=info
1,Education & Training,Higher Education & University Education,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=15&task=info
1,Education & Training,Higher Education & University Education,Diploma Examination in Ayurveda (D.A.),https://gic.gov.lk/gic/index.php/en/component/info/?id=919&catid=15&task=info
1,Education & Training,Higher Education & University Education,Education section of the Zoo,https://gic.gov.lk/gic/index.php/en/component/info/?id=608&catid=15&task=info
1,Education & Training,Vocational Education & Training,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=16&task=info
1,Education & Training,Vocational Education & Training,Enrollment of Students for the Courses of Colleges of Technology/Technical Colleges,https://gic.gov.lk/gic/index.php/en/component/info/?id=614&catid=16&task=info
1,Education & Training,Vocational Education & Training,Register all TVET institutions,https://gic.gov.lk/gic/index.php/en/component/info/?id=938&catid=16&task=info
1,Education & Training,Vocational Education & Training,Obtain the services of Mahaweli Center,https://gic.gov.lk/gic/index.php/en/component/info/?id=1210&catid=16&task=info
1,Education & Training,Vocational Education & Training,Obtaining Continuous Discharge Certificate (CDC),https://gic.gov.lk/gic/index.php/en/component/info/?id=1606&catid=16&task=info
1,Education & Training,Vocational Education & Training,Providing vocational training for the youths,https://gic.gov.lk/gic/index.php/en/component/info/?id=773&catid=16&task=info
1,Education & Training,Vocational Education & Training,NVQ certificates,https://gic.gov.lk/gic/index.php/en/component/info/?id=944&catid=16&task=info
1,Education & Training,Vocational Education & Training,Accreditation of TVET courses,https://gic.gov.lk/gic/index.php/en/component/info/?id=941&catid=16&task=info
1,Education & Training,Vocational Education & Training,CGTTI,https://gic.gov.lk/gic/index.php/en/component/info/?id=1722&catid=16&task=info
1,Education & Training,Vocational Education & Training,Apprentice Training,https://gic.gov.lk/gic/index.php/en/component/info/?id=1103&catid=16&task=info
1,Education & Training,Vocational Education & Training,Re-validation of Continuous Discharge Certificate (CDC),https://gic.gov.lk/gic/index.php/en/component/info/?id=1607&catid=16&task=info
1,Education & Training,Vocational Education & Training,Vocational Skills for Public and Private Sector Institutions,https://gic.gov.lk/gic/index.php/en/component/info/?id=786&catid=16&task=info
1,Education & Training,Vocational Education & Training,Development Programmes for Private Public Partnership,https://gic.gov.lk/gic/index.php/en/component/info/?id=823&catid=16&task=info
