main_category,subcategory,count
"Agriculture, Livestock & Fisheries","Agriculture, Livestock & Fisheries Development",60
"Agriculture, Livestock & Fisheries",Approval & Registration,7
"Agriculture, Livestock & Fisheries",Permits & Licenses,7
"Agriculture, Livestock & Fisheries","Subsidies & Assistance for Agriculture, Livestock & Fisheries",4
"Agriculture, Livestock & Fisheries",Training & Extension Services,25
"Banking, Tax & Insurance",Bank Accounts,20
"Banking, Tax & Insurance",Leasing Facilities,1
"Banking, Tax & Insurance",Loans,17
"Banking, Tax & Insurance",Miscellaneous,9
"Banking, Tax & Insurance",Taxes & Insurance,8
Citizen's Registrations,Birth,14
Citizen's Registrations,Citizenship,5
Citizen's Registrations,Death,10
Citizen's Registrations,Marriage,7
Citizen's Registrations,Voter Registrations,1
Communication & Media,Information Services,15
Communication & Media,Languages,2
Communication & Media,Licenses & Permits,7
Communication & Media,Postal Service,22
Education & Training,Distance Education,1
Education & Training,Education Publications,13
Education & Training,Education for Differently-abled,1
Education & Training,Education for Government Officers,11
Education & Training,Higher Education & University Education,3
Education & Training,School Education,1
Education & Training,Vocational Education & Training,38
Employment Information,Employment Opportunities,6
Employment Information,Employment Statistics,1
Employment Information,Foreign Employment,6
Employment Information,Government Employees,1
Employment Information,"Pensions, EPF, ETF & Other",13
Employment Information,Private Employees,3
Employment Information,Publications on Career Information,1
Employment Information,"Seminars, Workshops & Training Programmes",6
Environment,Disaster Management,7
Environment,Disaster Relief,6
Environment,Environmental Protection & Programs,13
Environment,Weather Service,9
Environment,Wildlife,3
"Health, Well Being & Social Service",Child Care,26
"Health, Well Being & Social Service","Grants, Subsidies & Other Assistance",12
"Health, Well Being & Social Service",Health Assistance,33
"Health, Well Being & Social Service",Social Service,22
"Housing, Property & Utilities",Housing & Property,20
"Housing, Property & Utilities",Infrastructure,4
"Housing, Property & Utilities",Planning & Building Regulations,10
"Housing, Property & Utilities",Utilities,11
"Justice, Law & Rights",Complaints & Grievances,18
"Justice, Law & Rights",Consumer Protection,8
"Justice, Law & Rights",Law & Order,23
"Justice, Law & Rights",Legal Assistance,8
"Justice, Law & Rights",Legislature & Executive,4
"Justice, Law & Rights",Rights,2
"Trade, Business & Industry","Approvals, Permits & Licenses",26
"Trade, Business & Industry","Assistance, Training & Development",9
"Trade, Business & Industry",Exports,12
"Trade, Business & Industry",Extensions & Other Services,1
"Trade, Business & Industry",Facilitations,7
"Trade, Business & Industry",Information,14
"Trade, Business & Industry","Loans, Funds & Incentive Schemes",4
"Trade, Business & Industry",Motoring,21
"Trade, Business & Industry",Registrations - Establishments,2
"Trade, Business & Industry",Registrations - Industrial,10
"Trade, Business & Industry",Regulation of Trade,7
"Trade, Business & Industry",Standards,6
"Trade, Business & Industry",Trade Promotion,4
"Trade, Business & Industry",Transport Services,6
"Travel, Tourism &  Lesiure",Leisure,22
"Travel, Tourism &  Lesiure",National Museums,7
"Travel, Tourism &  Lesiure",Traveling,18
