main_category_id,main_category,subcategory,service,serviceLink,content_file,sub_category_id,service_id
1,Education & Training,Education Publications,Sales Outlets of Books,https://gic.gov.lk/gic/index.php/en/component/info/?id=665&catid=87&task=info,service_md_1/Sales_Outlets_of_Books.md,87,665
1,Education & Training,Education Publications,Museum Publications,https://gic.gov.lk/gic/index.php/en/component/info/?id=1481&catid=87&task=info,service_md_1/Museum_Publications.md,87,1481
1,Education & Training,Education Publications,Services of Establishment Unit of Educational Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=662&catid=87&task=info,service_md_1/Services_of_Establishment_Unit_of_Educational_Publications_Department.md,87,662
1,Education & Training,Education Publications,Services of Information Technology Unit of Educational Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=659&catid=87&task=info,service_md_1/Services_of_Information_Technology_Unit_of_Educational_Publications_Department.md,87,659
1,Education & Training,Education Publications,Warehouses of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=664&catid=87&task=info,service_md_1/Warehouses_of_Educational__Publications_Department.md,87,664
1,Education & Training,Education Publications,Services of Publishing Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=657&catid=87&task=info,service_md_1/Services_of_Publishing_Unit_of_Educational__Publications_Department.md,87,657
1,Education & Training,Education Publications,Services of Investigation Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=660&catid=87&task=info,service_md_1/Services_of_Investigation_Unit_of_Educational__Publications_Department.md,87,660
1,Education & Training,Education Publications,Services of Research Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=661&catid=87&task=info,service_md_1/Services_of_Research_Unit_of_Educational__Publications_Department.md,87,661
1,Education & Training,Education Publications,Provision of Books for Libraries,https://gic.gov.lk/gic/index.php/en/component/info/?id=951&catid=87&task=info,service_md_1/Provision_of_Books_for_Libraries.md,87,951
1,Education & Training,Education Publications,Services of Planning Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=658&catid=87&task=info,service_md_1/Services_of_Planning_Unit_of_Educational__Publications_Department.md,87,658
1,Education & Training,Education Publications,Services of Production Unit of Educational Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=656&catid=87&task=info,service_md_1/Services_of_Production_Unit_of_Educational_Publications_Department.md,87,656
1,Education & Training,Education Publications,Request for Holding a Mobile Archaeological Book Stall,https://gic.gov.lk/gic/index.php/en/component/info/?id=1085&catid=87&task=info,service_md_1/Request_for_Holding_a_Mobile_Archaeological_Book_Stall.md,87,1085
1,Education & Training,Education Publications,Services of Financial Unit of Educational  Publications Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=663&catid=87&task=info,service_md_1/Services_of_Financial_Unit_of_Educational__Publications_Department.md,87,663
1,Education & Training,School Education,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=14&task=info,service_md_1/Payment_of_Examination_Fees.md,14,742
1,Education & Training,Higher Education & University Education,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=15&task=info,service_md_1/Payment_of_Examination_Fees.md,15,742
1,Education & Training,Higher Education & University Education,Diploma Examination in Ayurveda (D.A.),https://gic.gov.lk/gic/index.php/en/component/info/?id=919&catid=15&task=info,service_md_1/Diploma_Examination_in_Ayurveda__D_A__.md,15,919
1,Education & Training,Higher Education & University Education,Education section of the Zoo,https://gic.gov.lk/gic/index.php/en/component/info/?id=608&catid=15&task=info,service_md_1/Education_section_of_the_Zoo.md,15,608
1,Education & Training,Vocational Education & Training,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=16&task=info,service_md_1/Payment_of_Examination_Fees.md,16,742
1,Education & Training,Vocational Education & Training,Enrollment of Students for the Courses of Colleges of Technology/Technical Colleges,https://gic.gov.lk/gic/index.php/en/component/info/?id=614&catid=16&task=info,service_md_1/Enrollment_of_Students_for_the_Courses_of_Colleges_of_Technology_Technical_Colleges.md,16,614
1,Education & Training,Vocational Education & Training,Register all TVET institutions,https://gic.gov.lk/gic/index.php/en/component/info/?id=938&catid=16&task=info,service_md_1/Register_all_TVET_institutions.md,16,938
1,Education & Training,Vocational Education & Training,Obtain the services of Mahaweli Center,https://gic.gov.lk/gic/index.php/en/component/info/?id=1210&catid=16&task=info,service_md_1/Obtain_the_services_of_Mahaweli_Center.md,16,1210
1,Education & Training,Vocational Education & Training,Obtaining Continuous Discharge Certificate (CDC),https://gic.gov.lk/gic/index.php/en/component/info/?id=1606&catid=16&task=info,service_md_1/Obtaining_Continuous_Discharge_Certificate__CDC_.md,16,1606
1,Education & Training,Vocational Education & Training,Providing vocational training for the youths,https://gic.gov.lk/gic/index.php/en/component/info/?id=773&catid=16&task=info,service_md_1/Providing_vocational_training_for_the_youths.md,16,773
1,Education & Training,Vocational Education & Training,NVQ certificates,https://gic.gov.lk/gic/index.php/en/component/info/?id=944&catid=16&task=info,service_md_1/NVQ_certificates.md,16,944
1,Education & Training,Vocational Education & Training,Accreditation of TVET courses,https://gic.gov.lk/gic/index.php/en/component/info/?id=941&catid=16&task=info,service_md_1/Accreditation_of_TVET_courses.md,16,941
1,Education & Training,Vocational Education & Training,CGTTI,https://gic.gov.lk/gic/index.php/en/component/info/?id=1722&catid=16&task=info,service_md_1/CGTTI.md,16,1722
1,Education & Training,Vocational Education & Training,Apprentice Training,https://gic.gov.lk/gic/index.php/en/component/info/?id=1103&catid=16&task=info,service_md_1/Apprentice_Training.md,16,1103
1,Education & Training,Vocational Education & Training,Re-validation of Continuous Discharge Certificate (CDC),https://gic.gov.lk/gic/index.php/en/component/info/?id=1607&catid=16&task=info,service_md_1/Re_validation_of_Continuous_Discharge_Certificate__CDC_.md,16,1607
1,Education & Training,Vocational Education & Training,Vocational Skills for Public and Private Sector Institutions,https://gic.gov.lk/gic/index.php/en/component/info/?id=786&catid=16&task=info,service_md_1/Vocational_Skills_for_Public_and_Private_Sector_Institutions.md,16,786
1,Education & Training,Vocational Education & Training,Development Programmes for Private Public Partnership,https://gic.gov.lk/gic/index.php/en/component/info/?id=823&catid=16&task=info,service_md_1/Development_Programmes_for_Private_Public_Partnership.md,16,823
1,Education & Training,Vocational Education & Training,Implementation of Technical Education Development Programmes - Specialized for North East Provinces,https://gic.gov.lk/gic/index.php/en/component/info/?id=824&catid=16&task=info,service_md_1/Implementation_of_Technical_Education_Development_Programmes___Specialized_for_North_East_Provinces.md,16,824
1,Education & Training,Vocational Education & Training,Obtaining Certificates and Endorsements From the Deck Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=1600&catid=16&task=info,service_md_1/Obtaining_Certificates_and_Endorsements_From_the_Deck_Department.md,16,1600
1,Education & Training,Vocational Education & Training,Carrier Guidance and Counseling,https://gic.gov.lk/gic/index.php/en/component/info/?id=616&catid=16&task=info,service_md_1/Carrier_Guidance_and_Counseling.md,16,616
1,Education & Training,Vocational Education & Training,"Facilitating to the vocational training graduates for further training ,job placement or self employ",https://gic.gov.lk/gic/index.php/en/component/info/?id=777&catid=16&task=info,service_md_1/Facilitating_to_the_vocational_training_graduates_for_further_training__job_placement_or_self_employ.md,16,777
