context_id,context_title,context_content,main_category_id,main_category_name,sub_category_name,sub_category_id,service_name,service_id,service_link,context_with_metadata
8-47-1776-2,Contact Information and Additional Notes,"Staff Officers in charge of the services:

Designation | Name | Unit | contact No. | Fax | E-mail
--- | --- | --- | --- | --- | ---
Veterinary surgeon (Poultry Meat – Chicken, Goose, Turkey……) | Dr.P.I.P.Perera | VRA | 0094812388120 ext 302 | 0094812389125 | daphimport@yahoo.com

Alternatives or circumstances other than the above requirements and specific information: For processed poultry products, Please refer requirements on the web site.





Specimen application(attach a specimen form): Affixed",8,"Agriculture, Livestock & Fisheries","Agriculture, Livestock & Fisheries Development",47,09.Approval for importation of Poultry meat and Poultry meat products,1776,https://gic.gov.lk/gic/index.php/en/component/info/?id=1776&catid=47&task=info,"Service: 09.Approval for importation of Poultry meat and Poultry meat products
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Contact Information and Additional Notes
---
Staff Officers in charge of the services:

Designation | Name | Unit | contact No. | Fax | E-mail
--- | --- | --- | --- | --- | ---
Veterinary surgeon (Poultry Meat – Chicken, Goose, Turkey……) | Dr.P.I.P.Perera | VRA | 0094812388120 ext 302 | 0094812389125 | daphimport@yahoo.com

Alternatives or circumstances other than the above requirements and specific information: For processed poultry products, Please refer requirements on the web site.





Specimen application(attach a specimen form): Affixed"
8-47-817-2,Contact Information and Additional Information,"Position | Name | Division | Tel. No. | Fax | Email
--- | --- | --- | --- | --- | ---
General Manager | Mr. D. H. V.Perera | National Livestock Development Board | +94-11-2502693 | +94-11-2502693 | nidbqm@sltnet.lk

Exceptional alias special occasions other than the above and special information. No Specimen Application (attach Specimen Application Form) No specific application Duly filled Specimen Application (attach duly filled Specimen Form)",8,"Agriculture, Livestock & Fisheries","Agriculture, Livestock & Fisheries Development",47,Obtaining of compost and agricultural plants,817,https://gic.gov.lk/gic/index.php/en/component/info/?id=817&catid=47&task=info,"Service: Obtaining of compost and agricultural plants
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Contact Information and Additional Information
---
Position | Name | Division | Tel. No. | Fax | Email
--- | --- | --- | --- | --- | ---
General Manager | Mr. D. H. V.Perera | National Livestock Development Board | +94-11-2502693 | +94-11-2502693 | nidbqm@sltnet.lk

Exceptional alias special occasions other than the above and special information. No Specimen Application (attach Specimen Application Form) No specific application Duly filled Specimen Application (attach duly filled Specimen Form)"
8-44-927-3,Additional Notes and Timeline,"Note 1: If the inspector does not indicate approval in the workshop report, the Department would inform the Manufacturer the reason for disapproval and would advise the applicant on making amendments after which he/she could reapply. Note 2: If the Department disapproves the Pattern, a discussion between the Director and the party concerned will be held regarding making amendments to the instrument and would enable reapplication after the required changes are done. Note 3: If any amendments are made to a Pattern approved measuring instrument, the Manufacturer must obtain a new Registration Certificate from the Department. Timeline

Process Time Line : 3 – 6 months

Submission Timeline : Obtaining Application Form Submit Application Form:

Working days – Monday to Friday Counter open hours – 8.30 am to 4.15 pm Holidays – All Public and Mercantile Holidays Validity Timeline : Valid only for a period of one year after which the license must be renewed. Only the stamp fee should be paid.",8,"Agriculture, Livestock & Fisheries",Approval & Registration,44,"Registration of Manufacturers of weights, Measures and weighing or Measuring Instruments",927,https://gic.gov.lk/gic/index.php/en/component/info/?id=927&catid=44&task=info,"Service: Registration of Manufacturers of weights, Measures and weighing or Measuring Instruments
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Additional Notes and Timeline
---
Note 1: If the inspector does not indicate approval in the workshop report, the Department would inform the Manufacturer the reason for disapproval and would advise the applicant on making amendments after which he/she could reapply. Note 2: If the Department disapproves the Pattern, a discussion between the Director and the party concerned will be held regarding making amendments to the instrument and would enable reapplication after the required changes are done. Note 3: If any amendments are made to a Pattern approved measuring instrument, the Manufacturer must obtain a new Registration Certificate from the Department. Timeline

Process Time Line : 3 – 6 months

Submission Timeline : Obtaining Application Form Submit Application Form:

Working days – Monday to Friday Counter open hours – 8.30 am to 4.15 pm Holidays – All Public and Mercantile Holidays Validity Timeline : Valid only for a period of one year after which the license must be renewed. Only the stamp fee should be paid."
8-47-1320-2,Eligibility and Registration Procedure (Part 2),"After harvesting, a sample will be drawn for quality testing at a seed testing laboratory of SCS. Only approved seed lots are released as certified seeds with relevant SCS certified labels.

Basic requirements needed (i) minimum extent (1acer for paddy, 1 acre for potato, acre for Field crops, acre for vegetables) (ii) proof of origin (original label of basic seed lot) (iii) healthy crop conditions and isolated distance from other varieties and true varietal characters (iv) for potato: last 2 year should be free from any cultivation of solanesae family crop such as tomato, brinjal, chilli; submit information on variety, seed class, basic seeds and sketch of the land with boundaries; land elevation should be about 4500 feet from sea level and less than 40% land slop",8,"Agriculture, Livestock & Fisheries","Agriculture, Livestock & Fisheries Development",47,SCPPC-Seed Certification: Registration of seed production crops and certification of produced seeds,1320,https://gic.gov.lk/gic/index.php/en/component/info/?id=1320&catid=47&task=info,"Service: SCPPC-Seed Certification: Registration of seed production crops and certification of produced seeds
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Eligibility and Registration Procedure (Part 2)
---
After harvesting, a sample will be drawn for quality testing at a seed testing laboratory of SCS. Only approved seed lots are released as certified seeds with relevant SCS certified labels.

Basic requirements needed (i) minimum extent (1acer for paddy, 1 acre for potato, acre for Field crops, acre for vegetables) (ii) proof of origin (original label of basic seed lot) (iii) healthy crop conditions and isolated distance from other varieties and true varietal characters (iv) for potato: last 2 year should be free from any cultivation of solanesae family crop such as tomato, brinjal, chilli; submit information on variety, seed class, basic seeds and sketch of the land with boundaries; land elevation should be about 4500 feet from sea level and less than 40% land slop"
8-48-1350-2,Contact Information for Inter-Provincial Agriculture Services,"Staff officers in charge of the service:

Inter-provincial area | Staff in charge | Contact address & Tel.No
--- | --- | ---
Ampara | Deputy Director of Agriculture(Extension) | DD’s Inter-provincial office,  Dept.of Agriculture,Ampara.  063-222066
Polonnaruwa | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Polonnaruwa  027-2222019
Hambanthota | Deputy Director of Agriculture(Extension) | DD’s Inter-provincial office,  Dept.of Agriculture,Hambanthota.  047-2220791
Monaragala | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Monaragala.  055-2276137
Kandy | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Hasalaka  055-2257008
Anuradhapura | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Anuradhapura.  025-2223308",8,"Agriculture, Livestock & Fisheries",Training & Extension Services,48,Extension &Training: Agriculture extension services in Inter-provincial areas,1350,https://gic.gov.lk/gic/index.php/en/component/info/?id=1350&catid=48&task=info,"Service: Extension &Training: Agriculture extension services in Inter-provincial areas
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Contact Information for Inter-Provincial Agriculture Services
---
Staff officers in charge of the service:

Inter-provincial area | Staff in charge | Contact address & Tel.No
--- | --- | ---
Ampara | Deputy Director of Agriculture(Extension) | DD’s Inter-provincial office,  Dept.of Agriculture,Ampara.  063-222066
Polonnaruwa | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Polonnaruwa  027-2222019
Hambanthota | Deputy Director of Agriculture(Extension) | DD’s Inter-provincial office,  Dept.of Agriculture,Hambanthota.  047-2220791
Monaragala | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Monaragala.  055-2276137
Kandy | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Hasalaka  055-2257008
Anuradhapura | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Anuradhapura.  025-2223308"
8-48-686-1,Application Submission Details and Required Fees,"Eligibility Process of submitting applications. (Places from where applications can be obtained, Place, Counter and time at which applications should be submitted.) Places from where applications can be obtained. Treatment Technology Division National Plant Quarantine Service Canada Friendship Mawatha Katunayake. Application should be made by a letter written by the applicant himself. Fees payable for obtaining applications. No fee is charged. Time for submission of applications. From 8.30 a.m. to 4.15 p.m. on every week day Fees payable for obtainng the service Rs. 100.00/- (for a single fumigation) Time taken to provide the service.(Ordinary service and Priority service) Maximum period of 02 days.",8,"Agriculture, Livestock & Fisheries",Training & Extension Services,48,Fumigation,686,https://gic.gov.lk/gic/index.php/en/component/info/?id=686&catid=48&task=info,"Service: Fumigation
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Application Submission Details and Required Fees
---
Eligibility Process of submitting applications. (Places from where applications can be obtained, Place, Counter and time at which applications should be submitted.) Places from where applications can be obtained. Treatment Technology Division National Plant Quarantine Service Canada Friendship Mawatha Katunayake. Application should be made by a letter written by the applicant himself. Fees payable for obtaining applications. No fee is charged. Time for submission of applications. From 8.30 a.m. to 4.15 p.m. on every week day Fees payable for obtainng the service Rs. 100.00/- (for a single fumigation) Time taken to provide the service.(Ordinary service and Priority service) Maximum period of 02 days."
8-47-1264-3,Service and Contact Information (Part 2),"Fruit cultivations | Fruit Division, HORDI | Head of Fruit Division/ Research Officer | -do-
Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Pest diagnosis | Entomology Division, HORDI | Head of Entomology Division/ Research Officer | -do-
Plant diseases diagnosis | Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Regional Agricultural Research & Development Centre Makandura | Deputy Director Research | DDR, Regional Agricultural Research & Development Centre Makandura Tel. 031-2299625/031-2299805 Fax 031-2299707
Agriculture Research Station, Sita Eliya | Research Officer In charge | ROIC, Agriculture Research Station, SitaEliya Tel. 052-2222615 Fax 052-2222615
Potato cultivation floricultural crops, biological control of leaf miner | Agriculture Research Station, Sita Eliya | Research Officer In charge | -do-",8,"Agriculture, Livestock & Fisheries","Agriculture, Livestock & Fisheries Development",47,HORDI-Horticultural crops:Advisory Services to solve farmers problem,1264,https://gic.gov.lk/gic/index.php/en/component/info/?id=1264&catid=47&task=info,"Service: HORDI-Horticultural crops:Advisory Services to solve farmers problem
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Service and Contact Information (Part 2)
---
Fruit cultivations | Fruit Division, HORDI | Head of Fruit Division/ Research Officer | -do-
Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Pest diagnosis | Entomology Division, HORDI | Head of Entomology Division/ Research Officer | -do-
Plant diseases diagnosis | Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Regional Agricultural Research & Development Centre Makandura | Deputy Director Research | DDR, Regional Agricultural Research & Development Centre Makandura Tel. 031-2299625/031-2299805 Fax 031-2299707
Agriculture Research Station, Sita Eliya | Research Officer In charge | ROIC, Agriculture Research Station, SitaEliya Tel. 052-2222615 Fax 052-2222615
Potato cultivation floricultural crops, biological control of leaf miner | Agriculture Research Station, Sita Eliya | Research Officer In charge | -do-"
8-47-1307-1,Eligibility and Application Procedure for Phytosanitary Certificate,"Eligibility

Any person

Procedure of applying Application can obtain from Plant Quarantine Station at the airport, National plant Quarantine Station, Katunayake and submit to the station. The items should be free from any pest and diseases.

Time of submission the applications any time (during 24 hours)

Fees for application Free of charge

Fees for obtaining the service Rs 162/= per certificate (including Inspection fee Rs.150/=)

Time taken to provide the service 30 minutes maximum (Depend on the type and amount of consignment)

Documents needed Export/ Import permit and fulfill the conditions requested, Test reports if necessary, no objection letter if necessary",8,"Agriculture, Livestock & Fisheries","Agriculture, Livestock & Fisheries Development",47,SCPPC-Plant Quarantine: Issuing phytosanitary certificate on agricultural commodities,1307,https://gic.gov.lk/gic/index.php/en/component/info/?id=1307&catid=47&task=info,"Service: SCPPC-Plant Quarantine: Issuing phytosanitary certificate on agricultural commodities
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Eligibility and Application Procedure for Phytosanitary Certificate
---
Eligibility

Any person

Procedure of applying Application can obtain from Plant Quarantine Station at the airport, National plant Quarantine Station, Katunayake and submit to the station. The items should be free from any pest and diseases.

Time of submission the applications any time (during 24 hours)

Fees for application Free of charge

Fees for obtaining the service Rs 162/= per certificate (including Inspection fee Rs.150/=)

Time taken to provide the service 30 minutes maximum (Depend on the type and amount of consignment)

Documents needed Export/ Import permit and fulfill the conditions requested, Test reports if necessary, no objection letter if necessary"
8-44-929-1,Eligibility and Submission Procedure for Business Establishment Registration,"Eligibility

Must be registered as a Business Establishment.

Note: A person or an institution holding a Certificate of Registration for the sale of authorized weights, measures or weighing or measuring instruments shall sell or possess for sale only after the weights, measures or weighing or measuring instruments are stamped by an Inspector. The verification certificate issued by the Inspector shall be issued to the purchaser.

Submission Procedure

Obtain an Application Form

The applicant would receive the Application Form after the Department receives the letter of request. The applicant could also physically come to the Department and request for an application form.

Support Documents required Copy of Business Registration Certificate

Hand over Application Form The applicant is able to send the filled Application Form by post or by physically visiting the Department.

Working Days : Monday to Friday

Working Hours : 8.30 am to 4.15 pm Holidays : All Public and Mercantile holidays",8,"Agriculture, Livestock & Fisheries",Approval & Registration,44,"Registration of Sellers of weights, Measures and weighing or Measuring Instruments",929,https://gic.gov.lk/gic/index.php/en/component/info/?id=929&catid=44&task=info,"Service: Registration of Sellers of weights, Measures and weighing or Measuring Instruments
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Eligibility and Submission Procedure for Business Establishment Registration
---
Eligibility

Must be registered as a Business Establishment.

Note: A person or an institution holding a Certificate of Registration for the sale of authorized weights, measures or weighing or measuring instruments shall sell or possess for sale only after the weights, measures or weighing or measuring instruments are stamped by an Inspector. The verification certificate issued by the Inspector shall be issued to the purchaser.

Submission Procedure

Obtain an Application Form

The applicant would receive the Application Form after the Department receives the letter of request. The applicant could also physically come to the Department and request for an application form.

Support Documents required Copy of Business Registration Certificate

Hand over Application Form The applicant is able to send the filled Application Form by post or by physically visiting the Department.

Working Days : Monday to Friday

Working Hours : 8.30 am to 4.15 pm Holidays : All Public and Mercantile holidays"
8-48-691-2,Central Scholarships for Public Officers in Agriculture (Part 2),"Agricultural Schools where the Courses are conducted and the language Media Places i. Kundasale Sinhala, Tamil, English ii. Angunakolapelessa Sinhala only iii. Pelwehera Sinhala only iv. Vavuniya Tamil only Eligibility a) G.C.E. (O/L) with 06 subjects in not more than two sittings compulsorily with credit passes for the tree core subjects Sinhala / Tamil anguage, Mathematics and Science and also with credit passes for at least one of the two subjects Social Studies and Agriculture (thus having a total of 04 credits in all) At least passes in 05 of the above subjects and 03 credits should have been obtained in one sitting. b) Candidates who wish to follow the course in the English medium should have a credit pass for English language at the G.C.E.(O/L) Examination. ii. Age Shall be less than 45 years as on the date mentioned in the notification calling for tenders. iii. Shall hold a permanent appointment in the Public Service duty confirmed in the appointment as on the date mentioned in the notification calling for applications.",8,"Agriculture, Livestock & Fisheries",Training & Extension Services,48,Agricultural Education for Public Officers,691,https://gic.gov.lk/gic/index.php/en/component/info/?id=691&catid=48&task=info,"Service: Agricultural Education for Public Officers
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Central Scholarships for Public Officers in Agriculture (Part 2)
---
Agricultural Schools where the Courses are conducted and the language Media Places i. Kundasale Sinhala, Tamil, English ii. Angunakolapelessa Sinhala only iii. Pelwehera Sinhala only iv. Vavuniya Tamil only Eligibility a) G.C.E. (O/L) with 06 subjects in not more than two sittings compulsorily with credit passes for the tree core subjects Sinhala / Tamil anguage, Mathematics and Science and also with credit passes for at least one of the two subjects Social Studies and Agriculture (thus having a total of 04 credits in all) At least passes in 05 of the above subjects and 03 credits should have been obtained in one sitting. b) Candidates who wish to follow the course in the English medium should have a credit pass for English language at the G.C.E.(O/L) Examination. ii. Age Shall be less than 45 years as on the date mentioned in the notification calling for tenders. iii. Shall hold a permanent appointment in the Public Service duty confirmed in the appointment as on the date mentioned in the notification calling for applications."
