context_id,context,question_en,answer_en,question_ta,answer_ta,question_si,answer_si,question_id
8-47-1776-2,"Service: 09.Approval for importation of Poultry meat and Poultry meat products
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Contact Information and Additional Notes
---
Staff Officers in charge of the services:

Designation | Name | Unit | contact No. | Fax | E-mail
--- | --- | --- | --- | --- | ---
Veterinary surgeon (Poultry Meat – Chicken, Goose, Turkey……) | Dr.P.I.P.Perera | VRA | 0094812388120 ext 302 | 0094812389125 | daphimport@yahoo.com

Alternatives or circumstances other than the above requirements and specific information: For processed poultry products, Please refer requirements on the web site.





Specimen application(attach a specimen form): Affixed","Who is the staff officer responsible for the approval of poultry meat and poultry meat product importation, and what are their contact details?","Dr.P.I.P.Perera, a Veterinary surgeon (Poultry Meat), is the staff officer in charge. Their contact number is 0094812388120 ext 302, fax is 0094812389125, and email is daphimport@yahoo.com.","கோழி இறைச்சி மற்றும் கோழி இறைச்சிப் பொருட்களை இறக்குமதி செய்வதற்கான ஒப்புதலுக்குப் பொறுப்பான அலுவலர் யார், அவர்களின் தொடர்பு விவரங்கள் என்ன?","கால்நடை அறுவை சிகிச்சை நிபுணர் (கோழி இறைச்சி) டாக்டர். பி.ஐ.பி. பெரேரா பொறுப்பான அலுவலர் ஆவார். அவரது தொடர்பு எண் 0094812388120 எக்ஸ்டென்ஷன் 302, தொலைநகல் 0094812389125 மற்றும் மின்னஞ்சல் daphimport@yahoo.com ஆகும்.",කුකුළු මස් සහ කුකුළු මස් නිෂ්පාදන ආනයනය සඳහා අනුමැතිය ලබා දෙන වගකිවයුතු නිලධාරියා කවුද සහ ඔවුන්ගේ සම්බන්ධතා තොරතුරු මොනවාද?,"පශු වෛද්‍ය ශල්‍ය වෛද්‍ය (කුකුළු මස්) ආචාර්ය පී.අයි.පී. පෙරේරා මහතා වගකිවයුතු නිලධාරියා වේ. ඔහුගේ සම්බන්ධතා අංකය 0094812388120 දිගුව 302, ෆැක්ස් 0094812389125 සහ විද්‍යුත් තැපෑල daphimport@yahoo.com වේ.",1
8-47-817-2,"Service: Obtaining of compost and agricultural plants
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Contact Information and Additional Information
---
Position | Name | Division | Tel. No. | Fax | Email
--- | --- | --- | --- | --- | ---
General Manager | Mr. D. H. V.Perera | National Livestock Development Board | +94-11-2502693 | +94-11-2502693 | nidbqm@sltnet.lk

Exceptional alias special occasions other than the above and special information. No Specimen Application (attach Specimen Application Form) No specific application Duly filled Specimen Application (attach duly filled Specimen Form)","Who is the primary contact person for obtaining compost and agricultural plants, and what are their contact details?","The primary contact person for obtaining compost and agricultural plants is Mr. D. H. V. Perera, the General Manager of the National Livestock Development Board. He can be reached at Tel. No. +94-11-2502693 or via email at nidbqm@sltnet.lk.","உரம் மற்றும் விவசாய தாவரங்களைப் பெறுவதற்கான முதன்மை தொடர்பு நபர் யார், அவர்களின் தொடர்பு விவரங்கள் என்ன?",உரம் மற்றும் விவசாய தாவரங்களைப் பெறுவதற்கான முதன்மை தொடர்பு நபர் தேசிய கால்நடை அபிவிருத்தி சபையின் பொது மேலாளர் திரு. டி. எச். வி. பெரேரா ஆவார். அவரை தொலைபேசி எண் +94-11-2502693 அல்லது மின்னஞ்சல் nidbqm@sltnet.lk மூலம் தொடர்பு கொள்ளலாம்.,කොම්පෝස්ට් සහ කෘෂිකාර්මික ශාක ලබා ගැනීම සඳහා ප්‍රධාන සම්බන්ධීකරණ නිලධාරියා කවුද සහ ඔවුන්ගේ සම්බන්ධතා තොරතුරු මොනවාද?,කොම්පෝස්ට් සහ කෘෂිකාර්මික ශාක ලබා ගැනීම සඳහා ප්‍රධාන සම්බන්ධීකරණ නිලධාරියා වන්නේ ජාතික පශු සම්පත් සංවර්ධන මණ්ඩලයේ සාමාන්‍යාධිකාරී ඩී. එච්. වී. පෙරේරා මහතාය. ඔහුව දුරකථන අංකය +94-11-2502693 හෝ විද්‍යුත් තැපෑල nidbqm@sltnet.lk හරහා සම්බන්ධ කර ගත හැකිය.,2
8-44-927-3,"Service: Registration of Manufacturers of weights, Measures and weighing or Measuring Instruments
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Additional Notes and Timeline
---
Note 1: If the inspector does not indicate approval in the workshop report, the Department would inform the Manufacturer the reason for disapproval and would advise the applicant on making amendments after which he/she could reapply. Note 2: If the Department disapproves the Pattern, a discussion between the Director and the party concerned will be held regarding making amendments to the instrument and would enable reapplication after the required changes are done. Note 3: If any amendments are made to a Pattern approved measuring instrument, the Manufacturer must obtain a new Registration Certificate from the Department. Timeline

Process Time Line : 3 – 6 months

Submission Timeline : Obtaining Application Form Submit Application Form:

Working days – Monday to Friday Counter open hours – 8.30 am to 4.15 pm Holidays – All Public and Mercantile Holidays Validity Timeline : Valid only for a period of one year after which the license must be renewed. Only the stamp fee should be paid.","What is the validity period of the license for the registration of manufacturers, and what is required for its renewal?","The license is valid for a period of one year. After this period, it must be renewed, and only the stamp fee should be paid.","உற்பத்தியாளர்களின் பதிவிற்கான உரிமத்தின் செல்லுபடியாகும் காலம் என்ன, அதன் புதுப்பித்தலுக்கு என்ன தேவை?","உரிமம் ஒரு வருட காலத்திற்கு மட்டுமே செல்லுபடியாகும். இந்தக் காலத்திற்குப் பிறகு, உரிமம் புதுப்பிக்கப்பட வேண்டும், மேலும் முத்திரைக் கட்டணம் மட்டுமே செலுத்தப்பட வேண்டும்.","නිෂ්පාදකයින් ලියාපදිංචි කිරීමේ බලපත්‍රයේ වලංගු කාලය කොපමණද, එය අලුත් කිරීම සඳහා අවශ්‍ය වන්නේ කුමක්ද?","බලපත්‍රය වසරක කාලයක් සඳහා පමණක් වලංගු වේ. මෙම කාලයෙන් පසු, බලපත්‍රය අලුත් කළ යුතු අතර, මුද්දර ගාස්තුව පමණක් ගෙවිය යුතුය.",3
8-47-1320-2,"Service: SCPPC-Seed Certification: Registration of seed production crops and certification of produced seeds
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Eligibility and Registration Procedure (Part 2)
---
After harvesting, a sample will be drawn for quality testing at a seed testing laboratory of SCS. Only approved seed lots are released as certified seeds with relevant SCS certified labels.

Basic requirements needed (i) minimum extent (1acer for paddy, 1 acre for potato, acre for Field crops, acre for vegetables) (ii) proof of origin (original label of basic seed lot) (iii) healthy crop conditions and isolated distance from other varieties and true varietal characters (iv) for potato: last 2 year should be free from any cultivation of solanesae family crop such as tomato, brinjal, chilli; submit information on variety, seed class, basic seeds and sketch of the land with boundaries; land elevation should be about 4500 feet from sea level and less than 40% land slop","What are the specific land requirements for potato cultivation to be eligible for seed certification, particularly regarding previous crops, land elevation, and slope?","For potato cultivation to be eligible for seed certification, the land must have been free from any cultivation of solanaceae family crops such as tomato, brinjal, or chilli for the last two years. Additionally, the land elevation should be approximately 4500 feet from sea level, and its slope should be less than 40%.","விதைச் சான்றிதழுக்குத் தகுதியான உருளைக்கிழங்கு சாகுபடிக்கு, முந்தைய பயிர்கள், கடல் மட்டத்திலிருந்து நிலத்தின் உயரம் மற்றும் சரிவு தொடர்பாக உள்ள குறிப்பிட்ட நிலத் தேவைகள் என்ன?","விதைச் சான்றிதழுக்குத் தகுதியான உருளைக்கிழங்கு சாகுபடிக்கு, நிலம் கடந்த இரண்டு ஆண்டுகளாக தக்காளி, கத்தரி அல்லது மிளகாய் போன்ற சொலானேசியே குடும்பப் பயிர்கள் பயிரிடப்பட்டிருக்கக் கூடாது. மேலும், நிலத்தின் உயரம் கடல் மட்டத்திலிருந்து சுமார் 4500 அடியாகவும், நிலச் சரிவு 40% க்கும் குறைவாகவும் இருக்க வேண்டும்.","බීජ සහතික කිරීම සඳහා සුදුසුකම් ලැබීමට අර්තාපල් වගාවට, පෙර වගා කළ බෝග, මුහුදු මට්ටමේ සිට උස සහ බිම් බෑවුම සම්බන්ධයෙන් අවශ්‍ය වන නිශ්චිත ඉඩම් අවශ්‍යතා මොනවාද?","බීජ සහතික කිරීම සඳහා සුදුසුකම් ලැබීමට අර්තාපල් වගා කරන ඉඩම පසුගිය වසර දෙක තුළ තක්කාලි, වම්බටු හෝ මිරිස් වැනි සොලනේසියේ කුලයට අයත් කිසිදු බෝග වගාවකින් තොර විය යුතුය. ඊට අමතරව, ඉඩමේ උස මුහුදු මට්ටමේ සිට අඩි 4500 ක් පමණ විය යුතු අතර, එහි බෑවුම 40% ට වඩා අඩු විය යුතුය.",4
8-48-1350-2,"Service: Extension &Training: Agriculture extension services in Inter-provincial areas
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Contact Information for Inter-Provincial Agriculture Services
---
Staff officers in charge of the service:

Inter-provincial area | Staff in charge | Contact address & Tel.No
--- | --- | ---
Ampara | Deputy Director of Agriculture(Extension) | DD’s Inter-provincial office,  Dept.of Agriculture,Ampara.  063-222066
Polonnaruwa | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Polonnaruwa  027-2222019
Hambanthota | Deputy Director of Agriculture(Extension) | DD’s Inter-provincial office,  Dept.of Agriculture,Hambanthota.  047-2220791
Monaragala | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Monaragala.  055-2276137
Kandy | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Hasalaka  055-2257008
Anuradhapura | Deputy Director of Agriculture (Extension) | DD’s Inter-provincial office,  Dept.of Agriculture, Anuradhapura.  025-2223308",What is the contact address and telephone number for the Agriculture Extension services in the Ampara inter-provincial area?,"The contact address is DD’s Inter-provincial office, Dept.of Agriculture, Ampara, and the telephone number is 063-222066.",அம்பாறை அන්තர் மாகாண விவசாய விரிவாக்க சேவைகளுக்கான தொடர்பு முகவரி மற்றும் தொலைபேசி எண் என்ன?,"தொடர்பு முகவரி பிரதிப் பணிப்பாளர் (விவசாய விரிவாக்கம்) அலுவலகம், விவசாயத் திணைக்களம், அம்பாறை ஆகும், மேலும் தொலைபேசி எண் 063-222066 ஆகும்.",අම්පාර අන්තර් පළාත් කෘෂිකාර්මික ව්‍යාප්ති සේවා සඳහා සම්බන්ධ කරගත හැකි ලිපිනය සහ දුරකථන අංකය කුමක්ද?,"සම්බන්ධ කරගත හැකි ලිපිනය නියෝජ්‍ය අධ්‍යක්ෂ (ව්‍යාප්ති) කාර්යාලය, කෘෂිකර්ම දෙපාර්තමේන්තුව, අම්පාර වන අතර, දුරකථන අංකය 063-222066 වේ.",5
8-48-686-1,"Service: Fumigation
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Application Submission Details and Required Fees
---
Eligibility Process of submitting applications. (Places from where applications can be obtained, Place, Counter and time at which applications should be submitted.) Places from where applications can be obtained. Treatment Technology Division National Plant Quarantine Service Canada Friendship Mawatha Katunayake. Application should be made by a letter written by the applicant himself. Fees payable for obtaining applications. No fee is charged. Time for submission of applications. From 8.30 a.m. to 4.15 p.m. on every week day Fees payable for obtainng the service Rs. 100.00/- (for a single fumigation) Time taken to provide the service.(Ordinary service and Priority service) Maximum period of 02 days.",What is the fee for a single fumigation service?,The fee for a single fumigation service is Rs. 100.00/-.,ஒரு புகையூட்டல் சேவைக்கான கட்டணம் எவ்வளவு?,ஒரு புகையூட்டல் சேவைக்கான கட்டணம் ரூ. 100.00/- ஆகும்.,තනි දුම් ගැසීමේ සේවාව සඳහා අය කරන ගාස්තුව කොපමණද?,තනි දුම් ගැසීමේ සේවාව සඳහා අය කරන ගාස්තුව රුපියල් 100.00/- කි.,6
8-47-1264-3,"Service: HORDI-Horticultural crops:Advisory Services to solve farmers problem
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Service and Contact Information (Part 2)
---
Fruit cultivations | Fruit Division, HORDI | Head of Fruit Division/ Research Officer | -do-
Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Pest diagnosis | Entomology Division, HORDI | Head of Entomology Division/ Research Officer | -do-
Plant diseases diagnosis | Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Regional Agricultural Research & Development Centre Makandura | Deputy Director Research | DDR, Regional Agricultural Research & Development Centre Makandura Tel. 031-2299625/031-2299805 Fax 031-2299707
Agriculture Research Station, Sita Eliya | Research Officer In charge | ROIC, Agriculture Research Station, SitaEliya Tel. 052-2222615 Fax 052-2222615
Potato cultivation floricultural crops, biological control of leaf miner | Agriculture Research Station, Sita Eliya | Research Officer In charge | -do-","If a farmer needs advisory services for fruit cultivations, which division at HORDI should they contact, and who is the designated contact person?","For advisory services regarding fruit cultivations, farmers should contact the Fruit Division at HORDI, and the designated contact person is the Head of Fruit Division/Research Officer.","ஒரு விவசாயிக்கு பழப் பயிர்ச்செய்கை தொடர்பான ஆலோசனை சேவைகள் தேவைப்பட்டால், HORDI இல் எந்தப் பிரிவை அணுக வேண்டும், மற்றும் நியமிக்கப்பட்ட தொடர்பு அதிகாரி யார்?","பழப் பயிர்ச்செய்கை தொடர்பான ஆலோசனை சேவைகளுக்கு, விவசாயிகள் HORDI இன் பழப் பிரிவை அணுக வேண்டும், மேலும் நியமிக்கப்பட்ட தொடர்பு அதிகாரி பழப் பிரிவின் தலைவர்/ஆராய்ச்சி அதிகாரி ஆவார்.","ගොවියෙකුට පළතුරු වගාවන් සඳහා උපදේශන සේවා අවශ්‍ය නම්, HORDI හි කුමන අංශය හා සම්බන්ධ විය යුතුද, සහ නම් කරන ලද සම්බන්ධීකරණ නිලධාරී කවුද?","පළතුරු වගාවන් සම්බන්ධ උපදේශන සේවා සඳහා, ගොවීන් HORDI හි පළතුරු අංශය හා සම්බන්ධ විය යුතු අතර, නම් කරන ලද සම්බන්ධීකරණ නිලධාරී වන්නේ පළතුරු අංශයේ ප්‍රධානියා/පර්යේෂණ නිලධාරී ය.",7
8-47-1307-1,"Service: SCPPC-Plant Quarantine: Issuing phytosanitary certificate on agricultural commodities
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Eligibility and Application Procedure for Phytosanitary Certificate
---
Eligibility

Any person

Procedure of applying Application can obtain from Plant Quarantine Station at the airport, National plant Quarantine Station, Katunayake and submit to the station. The items should be free from any pest and diseases.

Time of submission the applications any time (during 24 hours)

Fees for application Free of charge

Fees for obtaining the service Rs 162/= per certificate (including Inspection fee Rs.150/=)

Time taken to provide the service 30 minutes maximum (Depend on the type and amount of consignment)

Documents needed Export/ Import permit and fulfill the conditions requested, Test reports if necessary, no objection letter if necessary",What are the fees for obtaining a phytosanitary certificate and how long does it take to provide this service?,"The fee for obtaining the service is Rs 162/= per certificate, which includes an inspection fee of Rs.150/=. The time taken to provide the service is a maximum of 30 minutes, depending on the type and amount of the consignment.",தாவர சுகாதார சான்றிதழ் பெறுவதற்கான கட்டணங்கள் யாவை மற்றும் இந்த சேவையை வழங்குவதற்கு எவ்வளவு நேரம் ஆகும்?,"சேவை பெறுவதற்கான கட்டணம் ஒரு சான்றிதழுக்கு ரூ.162/= ஆகும், இதில் ஆய்வு கட்டணம் ரூ.150/= அடங்கும். சேவையை வழங்குவதற்கான அதிகபட்ச நேரம் 30 நிமிடங்கள் ஆகும், இது சரக்கின் வகை மற்றும் அளவைப் பொறுத்தது.",ශාක සෞඛ්‍ය සහතිකයක් ලබා ගැනීම සඳහා වන ගාස්තු මොනවාද සහ මෙම සේවාව සැපයීමට කොපමණ කාලයක් ගතවේද?,"මෙම සේවාව ලබා ගැනීම සඳහා සහතිකයක් සඳහා රු. 162/= ක ගාස්තුවක් අය කෙරේ, එයට පරීක්ෂණ ගාස්තුව වන රු. 150/= ඇතුළත් වේ. සේවාව සැපයීමට ගතවන කාලය උපරිම මිනිත්තු 30 කි, එය භාණ්ඩ තොගයේ වර්ගය සහ ප්‍රමාණය මත රඳා පවතී.",8
8-44-929-1,"Service: Registration of Sellers of weights, Measures and weighing or Measuring Instruments
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Eligibility and Submission Procedure for Business Establishment Registration
---
Eligibility

Must be registered as a Business Establishment.

Note: A person or an institution holding a Certificate of Registration for the sale of authorized weights, measures or weighing or measuring instruments shall sell or possess for sale only after the weights, measures or weighing or measuring instruments are stamped by an Inspector. The verification certificate issued by the Inspector shall be issued to the purchaser.

Submission Procedure

Obtain an Application Form

The applicant would receive the Application Form after the Department receives the letter of request. The applicant could also physically come to the Department and request for an application form.

Support Documents required Copy of Business Registration Certificate

Hand over Application Form The applicant is able to send the filled Application Form by post or by physically visiting the Department.

Working Days : Monday to Friday

Working Hours : 8.30 am to 4.15 pm Holidays : All Public and Mercantile holidays","What is the main eligibility requirement to register as a seller of weights, measures, and weighing or measuring instruments?","To be eligible for this service, one must be registered as a Business Establishment.","எடைகள், அளவைகள் மற்றும் எடை அல்லது அளவிடும் கருவிகளை விற்பனை செய்பவராகப் பதிவு செய்யத் தேவையான முக்கிய தகுதி என்ன?","இந்த சேவைக்குத் தகுதி பெறுவதற்கு, ஒருவர் ஒரு வணிக நிறுவனமாகப் பதிவு செய்யப்பட்டிருக்க வேண்டும்.","බර, මිනුම් සහ කිරුම් හෝ මිනුම් උපකරණ විකුණන්නෙකු ලෙස ලියාපදිංචි වීමට ඇති ප්‍රධාන සුදුසුකම කුමක්ද?","මෙම සේවාව සඳහා සුදුසුකම් ලැබීමට නම්, ව්‍යාපාරික ආයතනයක් ලෙස ලියාපදිංචි වී තිබිය යුතුය.",9
8-48-691-2,"Service: Agricultural Education for Public Officers
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Central Scholarships for Public Officers in Agriculture (Part 2)
---
Agricultural Schools where the Courses are conducted and the language Media Places i. Kundasale Sinhala, Tamil, English ii. Angunakolapelessa Sinhala only iii. Pelwehera Sinhala only iv. Vavuniya Tamil only Eligibility a) G.C.E. (O/L) with 06 subjects in not more than two sittings compulsorily with credit passes for the tree core subjects Sinhala / Tamil anguage, Mathematics and Science and also with credit passes for at least one of the two subjects Social Studies and Agriculture (thus having a total of 04 credits in all) At least passes in 05 of the above subjects and 03 credits should have been obtained in one sitting. b) Candidates who wish to follow the course in the English medium should have a credit pass for English language at the G.C.E.(O/L) Examination. ii. Age Shall be less than 45 years as on the date mentioned in the notification calling for tenders. iii. Shall hold a permanent appointment in the Public Service duty confirmed in the appointment as on the date mentioned in the notification calling for applications.","What are the agricultural schools where courses for public officers are conducted, and what language media are available at each location?","The agricultural schools where courses are conducted are Kundasale (Sinhala, Tamil, English), Angunakolapelessa (Sinhala only), Pelwehera (Sinhala only), and Vavuniya (Tamil only).","பொது அதிகாரிகளுக்கான படிப்புகள் நடத்தப்படும் விவசாயப் பாடசாலைகள் யாவை, மற்றும் ஒவ்வொரு இடத்திலும் எந்த மொழி ஊடகங்கள் கிடைக்கின்றன?","பொது அதிகாரிகளுக்கான படிப்புகள் நடத்தப்படும் விவசாயப் பாடசாலைகள் குண்டசாலை (சிங்களம், தமிழ், ஆங்கிலம்), அங்குனுகொலபெலஸ்ஸ (சிங்களம் மட்டும்), பெல்வெஹெர (சிங்களம் மட்டும்) மற்றும் வவுனியா (தமிழ் மட்டும்) ஆகும்.",රාජ්‍ය නිලධාරීන් සඳහා පාඨමාලා පවත්වන කෘෂිකාර්මික විද්‍යාල මොනවාද සහ එක් එක් ස්ථානයේ ලබා ගත හැකි භාෂා මාධ්‍යයන් මොනවාද?,"පාඨමාලා පවත්වන කෘෂිකාර්මික විද්‍යාල වන්නේ කුණ්ඩසාලේ (සිංහල, දෙමළ, ඉංග්‍රීසි), අංගුණකොලපැලැස්ස (සිංහල පමණක්), පෙල්වෙහෙර (සිංහල පමණක්) සහ වවුනියාව (දෙමළ පමණක්) ය.",10
