question_id,ground_truth,translated_question,r@1,r@3,r@5,r@10,r@15,contexts
1,8-47-1776-2,Who is the responsible official who approves the import of chicken and chicken products and what are their contact details?,1,1,1,1,1,8-47-1776-2|8-47-1770-2|8-47-1768-4|8-47-1770-1|8-47-1768-2|8-47-1770-3|8-47-1768-1|8-47-1780-2|8-47-1776-1|8-47-1774-2|8-47-1775-1|10-57-428-1|10-57-1278-4|10-88-936-1|10-94-2232-2
2,8-47-817-2,Who is the main coordinating officer for obtaining compost and agricultural plants and what are their contact details?,1,1,1,1,1,8-47-817-2|8-47-817-1|8-47-693-2|8-47-1265-2|8-47-699-2|8-48-687-2|8-47-1264-2|2-21-2274-2|8-44-1327-3|2-75-2283-2|8-47-1265-3|12-70-1209-3|6-86-691-4|8-47-1207-2|8-48-828-3
3,8-44-927-3,"How long is the validity of the manufacturer registration license, and what is required to renew it?",0,0,0,1,1,11-68-931-4|10-55-931-3|10-55-931-2|11-68-931-1|10-55-931-1|11-68-931-3|11-68-931-2|8-44-927-3|10-88-927-3|8-44-927-1|10-88-927-1|10-65-408-6|10-65-397-3|11-68-931-5|10-55-931-5
4,8-47-1320-2,"What are the specific land requirements for potato cultivation, previous crops, elevation above sea level, and slope, to qualify for seed certification?",1,1,1,1,1,8-47-1320-2|8-47-1320-1|8-46-827-1|8-47-1320-3|8-47-1324-1|3-25-814-1|3-25-806-1|8-47-693-2|8-46-826-1|8-47-1321-1|5-31-1323-1|2-21-598-1|2-21-599-1|8-47-1322-1|8-47-693-1
5,8-48-1350-2,What is the contact address and telephone number for Ampara Inter-Provincial Agricultural Extension Services?,1,1,1,1,1,8-48-1350-2|8-48-1350-1|8-47-699-2|8-47-693-2|8-48-687-2|6-86-691-4|8-48-697-2|8-48-694-2|8-47-1341-1|2-22-700-5|7-39-651-3|2-22-700-4|8-47-1348-4|8-47-817-2|8-47-1265-3
6,8-48-686-1,How much is the fee for a single smoking service?,0,0,0,0,0,5-28-419-10|10-57-1645-2|3-24-725-2|10-89-1269-5|10-62-1269-5|10-55-1269-5|8-44-1269-4|2-21-604-2|10-65-390-4|12-70-622-3|11-67-1269-4|5-31-453-4|10-59-1269-5|3-24-723-1|10-65-397-4
7,8-47-1264-3,"If a farmer needs advisory services for fruit crops, which division of HORDI should he contact, and who is the designated coordinating officer?",0,1,1,1,1,8-47-1264-2|8-47-1264-3|8-47-1264-1|8-47-1264-4|8-47-1638-1|8-47-1265-2|8-47-1263-1|8-47-1262-1|8-47-1262-2|8-47-1265-3|8-48-1504-1|8-47-1263-2|8-48-1350-1|8-47-693-2|8-47-1265-1
8,8-47-1307-1,What are the fees for obtaining a plant health certificate and how long does it take to provide this service?,0,1,1,1,1,8-48-1581-2|8-47-1307-1|8-48-687-1|8-48-686-1|8-47-817-1|12-70-1209-2|8-44-1327-2|8-48-1562-2|8-47-1782-3|8-47-1772-1|1-16-777-2|8-46-827-3|8-48-1563-2|8-47-1776-1|8-47-1263-1
9,8-44-929-1,"What is the main qualification to register as a seller of weights, measures and weighing or measuring instruments?",0,1,1,1,1,10-88-929-1|8-44-929-1|10-88-927-4|10-88-932-1|10-88-929-2|10-88-927-1|8-44-927-1|8-44-929-2|8-44-929-3|8-44-927-4|5-28-859-1|10-57-859-1|10-88-933-2|10-88-927-3|10-55-933-2
10,8-48-691-2,Which agricultural colleges conduct courses for government officials and what language mediums are available at each location?,0,1,1,1,1,6-86-691-2|8-48-691-2|6-86-690-1|8-47-1344-1|8-48-690-1|8-47-1342-1|8-48-829-1|1-20-2121-1|6-86-691-4|8-48-1563-1|8-47-1349-2|8-48-1350-1|11-67-1343-1|8-48-691-3|8-46-827-2
