question_id,ground_truth,translated_question,r@1,r@3,r@5,r@10,r@15,contexts
1,8-47-1776-2,Who is the official responsible for approving the import of poultry and poultry products and what is their contact information?,1,1,1,1,1,8-47-1776-2|8-47-1770-2|8-47-1768-4|8-47-1768-2|8-47-1770-1|8-47-1776-1|8-47-1770-3|8-47-1768-1|8-47-1775-1|8-47-1780-2|8-47-1774-2|8-47-1777-1|10-57-428-1|8-47-1781-3|8-47-1771-1
2,8-47-817-2,Who is the chief coordinator for the procurement of compost and agricultural plants and what is their contact information?,1,1,1,1,1,8-47-817-2|8-47-817-1|8-47-1265-2|8-47-699-2|8-47-1207-2|2-75-2283-2|8-47-693-2|8-47-1264-2|8-48-687-2|8-47-1265-3|2-21-2274-2|8-47-1252-1|8-47-1262-2|8-47-1780-2|8-47-1349-2
3,8-44-927-3,How long is the validity of the manufacturer's registration license and what is required to renew it?,0,0,0,1,1,11-68-931-4|10-55-931-3|10-55-931-2|11-68-931-1|10-55-931-1|11-68-931-3|11-68-931-2|8-44-927-3|10-88-927-3|8-44-927-1|10-88-927-1|10-65-408-6|10-65-397-3|11-68-931-5|10-55-931-5
4,8-47-1320-2,"What are the specific land requirements for potato cultivation, pre-cultivated crops, altitude from sea level and slope of land required to qualify for seed certification?",1,1,1,1,1,8-47-1320-2|8-46-827-1|8-47-1320-1|8-47-1320-3|8-47-1324-1|3-25-814-1|8-47-693-2|3-25-806-1|8-46-826-1|2-21-599-1|8-47-693-1|8-47-1322-1|2-21-598-1|8-47-1321-1|5-31-1323-1
5,8-48-1350-2,What is the address and telephone number of the Ampar Inter-Provincial Agricultural Extension Service?,1,1,1,1,1,8-48-1350-2|8-48-1350-1|8-47-693-2|8-47-699-2|6-86-691-4|8-48-697-2|8-46-826-2|8-46-827-3|8-47-1348-4|8-47-1341-1|8-46-827-2|8-47-817-2|8-48-694-2|2-75-2283-2|8-48-687-2
6,8-48-686-1,How much is the cost of a single smoking service?,0,0,0,0,0,5-28-419-10|3-24-725-2|10-65-390-4|5-31-453-4|10-57-1645-2|10-62-1269-5|8-48-1562-2|2-22-707-2|10-89-1269-5|2-21-604-2|10-65-397-4|10-55-1269-5|5-32-462-3|8-44-1269-4|10-57-412-4
7,8-47-1264-3,"If a farmer needs consulting services for fruit crops, which branch of HORDI should be involved, and who is the appointed coordinating officer?",0,1,1,1,1,8-47-1264-2|8-47-1264-3|8-47-1264-1|8-47-1264-4|8-47-1638-1|8-47-1263-1|8-47-1265-2|8-47-1262-1|8-47-1263-2|8-47-1263-3|8-47-1262-2|8-47-1265-3|8-47-1262-3|8-47-1265-1|8-48-1504-1
8,8-47-1307-1,What is the cost of obtaining a plant health certificate and how long does it take to provide this service?,1,1,1,1,1,8-47-1307-1|8-48-1581-2|8-48-686-1|8-48-687-1|8-44-1327-2|8-47-817-1|8-48-1562-2|8-47-1772-1|12-70-1209-2|8-47-1263-1|8-47-1776-1|8-47-1782-3|12-71-1209-1|8-47-1209-1|8-47-1324-2
9,8-44-929-1,"What is the main qualification for registration as a weight, measurement and weighing equipment seller?",0,1,1,1,1,10-88-929-1|8-44-929-1|10-88-929-2|10-88-927-4|8-44-929-3|8-44-927-1|10-88-927-1|8-44-929-2|8-44-927-4|10-88-933-2|10-88-932-1|5-28-859-1|5-28-933-2|10-55-933-2|10-57-859-1
10,8-48-691-2,What agricultural schools offer courses for civil servants and what language media are available in each location?,0,1,1,1,1,6-86-691-2|8-48-691-2|6-86-690-1|8-48-690-1|8-47-1342-1|8-47-1349-2|8-47-1344-1|8-48-829-1|8-47-1348-4|8-48-691-1|8-47-1348-3|1-16-1103-4|1-20-2121-1|6-86-691-1|4-97-1478-1
