question_id,ground_truth,translated_question,r@1,r@3,r@5,r@10,r@15,contexts
1,8-47-1776-2,Who is the officer responsible for approving the production of chicken meat and chicken production and what is their contact information?,1,1,1,1,1,8-47-1776-2|8-47-1779-1|8-47-1776-1|8-47-1780-2|8-47-1774-2|8-47-1775-1|8-47-1781-3|8-47-1768-4|6-86-691-4|8-47-1770-1|8-47-815-1|8-44-1327-3|8-47-1777-1|8-47-1768-1|8-44-1269-5
2,8-47-817-2,Who's the Chief Liaison Officer for Compost and Agriculture and what's their contact information?,1,1,1,1,1,8-47-817-2|8-47-699-2|8-47-1265-2|8-47-693-2|8-47-817-1|8-47-1265-3|8-47-1264-2|8-47-1264-4|8-47-1780-2|8-48-1350-2|8-44-1327-3|8-47-1252-1|8-47-1264-3|6-86-691-4|8-47-1207-2
3,8-44-927-3,"How long is the validity of the Manufacturer Registration License, and what is required to renew it?",0,0,0,1,1,11-68-931-4|10-55-931-3|10-55-931-2|11-68-931-1|10-55-931-1|11-68-931-3|11-68-931-2|8-44-927-3|10-88-927-3|8-44-927-1|10-88-927-1|10-65-408-6|10-65-397-3|11-68-931-5|10-55-931-5
4,8-47-1320-2,"What specific land requirements are required to qualify for seed certification for potatoes, pre-harvested seeds, altitude from sea level and ground cover?",1,1,1,1,1,8-47-1320-2|8-46-827-1|8-47-1320-1|8-47-1324-1|8-47-1320-3|3-25-814-1|5-31-1323-1|8-47-1321-1|3-25-806-1|8-47-1322-1|2-21-599-1|8-44-1325-1|2-21-598-1|6-37-375-6|8-47-693-2
5,8-48-1350-2,What is the address and telephone number to be contacted for First Interprovincial Rural Development Services?,1,1,1,1,1,8-48-1350-2|8-47-693-2|8-48-1350-1|2-75-2283-2|2-22-700-3|2-22-700-4|10-61-762-3|8-47-699-2|7-41-2284-1|8-44-1269-6|8-44-1269-5|2-22-700-5|2-22-710-2|7-41-2284-2|2-75-2283-1
6,8-48-686-1,How much do you charge for a single smoking service?,0,0,0,0,0,5-28-419-10|10-62-1269-5|10-89-1269-5|10-57-1645-2|3-24-725-2|10-55-1269-5|8-44-1269-4|10-65-390-4|4-27-454-2|5-31-453-4|10-59-1269-5|11-67-1269-4|10-65-413-5|2-22-707-2|2-21-604-2
7,8-47-1264-3,"If a farmer needs advisory services for fruit crops, which section of HORDI should be involved, and who is the appointed liaison officer?",1,1,1,1,1,8-47-1264-3|8-47-1264-2|8-47-1264-1|8-47-1264-4|8-47-1638-1|8-47-1263-1|8-47-1265-2|8-47-1262-1|8-47-1263-2|8-47-1263-3|8-47-1265-3|8-47-1262-2|8-47-1265-1|8-48-1504-1|8-48-1350-1
8,8-47-1307-1,What are the fees for obtaining a plant health certificate and how long will it take to provide this service?,0,1,1,1,1,8-48-1581-2|8-47-1307-1|8-48-687-1|8-48-686-1|8-47-817-1|12-70-1209-2|8-44-1327-2|8-48-1562-2|8-47-1782-3|8-47-1263-1|8-46-827-3|8-47-1772-1|8-48-1563-2|8-47-1776-1|8-47-1769-1
9,8-44-929-1,"What is the main qualification to be registered as a salesman of weight, weight and weight or weight equipment?",0,1,1,1,1,10-88-929-1|8-44-929-1|8-44-927-1|10-88-927-1|8-44-929-2|10-88-927-4|10-88-929-2|8-44-927-4|8-44-929-3|10-88-932-1|10-55-1275-1|5-28-859-1|10-88-933-2|10-57-859-1|5-28-933-2
10,8-48-691-2,What are the agricultural colleges that offer courses for state officials and what are the language media available at each location?,0,1,1,1,1,6-86-691-2|8-48-691-2|8-47-1349-2|6-86-690-1|8-47-1344-1|8-48-690-1|11-67-1343-1|8-48-1563-1|8-47-693-2|1-20-2121-1|8-48-1350-1|8-47-1346-1|8-47-1342-1|8-48-1459-1|6-86-691-4
11,8-48-829-2,How do I apply for EAC on-the-job training?,1,1,1,1,1,8-48-829-2|8-48-1563-2|8-48-829-1|8-48-1563-1|8-48-1505-1|1-16-1103-3|8-47-1344-1|1-16-781-1|1-16-786-1|1-16-777-1|6-37-17-2|1-16-773-1|1-16-618-1|8-48-1459-1|1-16-1103-2
12,8-44-927-2,"What is the step-by-step procedure for the registration service of manufacturers of weights, scales and weight sensors or scale devices?",0,0,0,1,1,10-88-933-3|10-88-929-1|10-88-927-4|10-55-933-3|8-44-929-1|8-44-927-4|8-44-927-2|5-28-933-3|10-88-929-2|10-88-932-2|10-88-927-3|10-57-859-2|10-88-927-2|8-44-929-2|8-44-929-3
13,8-48-1562-2,How much does it cost to get the stamping training program?,0,1,1,1,1,11-68-729-1|8-48-1562-2|8-48-1563-2|1-16-777-2|11-66-745-1|10-88-932-5|4-27-454-2|10-88-932-2|9-51-583-6|6-37-17-2|1-16-742-1|1-16-614-3|8-47-1263-1|11-66-738-1|11-66-718-1
14,8-47-1263-3,What are the main components of the training programs provided by HORDI for horticulture?,0,1,1,1,1,8-47-1263-1|8-47-1263-3|8-47-1263-2|8-47-1262-1|8-47-1264-2|8-47-1262-2|8-47-1264-1|8-47-1638-1|8-47-1264-4|8-47-1265-2|8-47-1262-3|8-47-1265-1|8-47-1264-3|8-47-1266-1|8-48-1563-1
15,8-47-1768-2,Who should be contacted for information on pet imports and what is their contact information?,1,1,1,1,1,8-47-1768-2|8-47-1768-1|8-47-1768-4|8-47-1780-2|8-47-1770-2|8-47-1768-3|8-47-1776-2|8-47-1774-2|8-47-1770-3|10-94-2232-2|12-72-1099-2|10-57-428-1|8-47-1769-2|10-94-2098-2|11-66-749-3
