question_id,ground_truth,translated_question,r@1,r@3,r@5,r@10,r@15,contexts
1,8-47-1776-2,Who are the officials responsible for approval of imports of chicken meat and chicken meat products and what are their contact details?,1,1,1,1,1,8-47-1776-2|8-47-1770-2|8-47-1770-1|8-47-1770-3|8-47-1768-4|8-47-1768-2|8-47-1776-1|8-47-1768-1|8-47-1774-2|8-47-1780-2|10-57-1278-4|8-47-1775-1|8-47-1768-3|8-47-1769-2|8-47-1771-1
2,8-47-817-2,Who is the primary contact person for obtaining fertilizer and agricultural crops and what are their contact details?,0,0,1,1,1,8-47-699-2|8-47-693-2|8-47-1265-2|8-47-817-2|8-48-687-2|8-47-1262-2|8-48-1504-1|8-47-1265-3|8-47-1281-2|8-47-1264-4|10-94-2089-1|8-47-1264-2|8-44-1269-5|8-46-826-1|8-48-694-2
3,8-44-927-3,What is the validity period of the license for the manufacturer's registration and what is the need for its renewal?,0,0,0,1,1,11-68-931-4|10-55-931-3|10-55-931-2|11-68-931-1|10-55-931-1|11-68-931-2|8-44-927-3|11-68-931-3|10-88-927-3|10-65-397-3|8-44-927-1|10-65-408-6|10-65-415-4|10-88-927-1|10-65-390-3
4,8-47-1320-2,What are the specific land requirements relating to the elevation and erosion of land from sea level to previous crops for seed certificated potatoes?,1,1,1,1,1,8-47-1320-2|8-46-827-1|8-47-693-2|2-21-599-1|8-47-1320-3|8-46-827-3|3-25-814-1|8-47-1893-1|8-46-826-1|8-47-1324-1|2-21-598-3|8-47-693-1|8-47-699-2|2-22-712-1|8-47-1204-1
5,8-48-1350-2,What is the contact address and telephone number for Agricultural Expansion Services of Ampara Antr Province?,1,1,1,1,1,8-48-1350-2|8-47-693-2|8-47-699-2|8-47-1265-3|8-47-1341-1|8-44-1269-5|8-47-817-2|8-48-1350-1|8-44-1269-6|8-47-1348-4|8-48-687-2|2-22-700-5|8-47-1264-4|2-75-2283-2|8-46-1599-2
6,8-48-686-1,How much does a tobacco service cost?,0,0,0,0,0,5-28-419-10|8-48-1562-2|10-57-431-3|11-67-1645-2|10-65-390-4|5-32-462-3|10-57-412-4|10-57-1645-2|11-66-749-2|2-23-751-3|5-31-453-4|8-48-1581-2|10-62-1269-5|11-68-1216-3|10-65-404-4
7,8-47-1264-3,"If a farmer needs advice on fruit cultivation, which department should be approached at HORDI and who is the appointed liaison officer?",1,1,1,1,1,8-47-1264-3|8-47-1264-2|8-47-1264-4|8-47-1264-1|8-47-1265-2|8-47-1263-2|8-47-1263-1|8-47-1638-1|8-47-1263-3|8-47-1262-2|8-47-1262-1|8-47-1265-3|8-47-1262-3|8-47-1265-1|8-47-1266-1
8,8-47-1307-1,What are the fees for obtaining Plant Health Certificate and how long will it take to provide this service?,0,1,1,1,1,8-48-1581-2|8-47-1307-1|8-48-687-1|8-48-686-1|8-47-817-1|12-70-1209-2|8-44-1327-2|8-48-1562-2|8-47-1782-3|8-47-1772-1|8-46-827-3|8-47-1263-1|8-48-1563-2|8-47-1776-1|8-47-1324-2
9,8-44-929-1,"What is the essential qualification for registration as a seller of weights, scales and weighing or measuring instruments?",0,1,1,1,1,10-88-929-1|8-44-929-1|10-88-929-2|10-88-927-4|8-44-929-3|10-88-932-1|10-88-927-1|8-44-927-4|8-44-927-1|5-28-859-1|8-44-929-2|10-88-933-2|10-57-859-1|10-55-933-2|10-88-927-3
10,8-48-691-2,What are the agricultural schools where public officials are trained and what language media are available everywhere?,1,1,1,1,1,8-48-691-2|6-86-691-2|8-47-1349-2|1-20-2121-1|8-47-1344-1|8-48-691-1|8-48-1350-1|8-47-1342-1|8-48-691-3|12-95-988-2|8-47-1346-2|1-16-1109-1|6-86-691-4|4-97-1478-1|8-48-1563-1
11,8-48-829-2,How do I apply for EAC related service training?,1,1,1,1,1,8-48-829-2|8-48-829-1|8-48-1563-2|8-48-1563-1|8-48-1505-1|8-47-1344-1|8-48-1459-1|1-16-1103-3|1-16-781-1|12-70-768-1|1-16-777-2|6-86-768-1|1-16-783-1|8-48-1504-1|1-16-773-1
12,8-44-927-2,"What is the procedure for registration of manufacturers of weights, scales and weighing or measuring instruments?",0,0,1,1,1,10-88-929-1|8-44-929-1|10-88-927-4|8-44-927-2|8-44-927-4|10-88-927-1|10-88-927-3|8-44-927-3|8-44-927-1|10-88-927-2|10-88-933-2|5-28-859-1|10-55-933-2|10-55-933-3|10-57-859-1
13,8-48-1562-2,What is the cost of getting a Labanga Patta Drilling Training Scheme?,0,0,0,0,0,10-55-1288-2|2-22-712-1|2-21-598-2|2-22-710-1|11-67-1645-1|10-94-2102-1|4-27-451-2|10-55-818-1|10-58-597-1|8-45-1111-1|10-57-1270-2|8-47-692-1|10-57-1285-2|2-21-672-1|8-44-1270-2
